track_id,track_name,track_artist,track_preview
4PdJSsESm34djLfBde9Pr2,Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",https://p.scdn.co/mp3-preview/c28e2e348838342303e132e635b319f3f592d4a2?cid=42af1dc139184fc09475bdf54c5029cf
2gX34gCWPnUSvEhYLYEMH4,Un beso,Los 4,https://p.scdn.co/mp3-preview/17dac1e547e168b571470d9831b3eeb49bbd537a?cid=42af1dc139184fc09475bdf54c5029cf
7zJVl2Z4XsYoISPzRawLMr,New Wave,"Big Sad 1900, Baby Stone Gorillas",https://p.scdn.co/mp3-preview/bb63643019219fd715ea71b6704e1d5d24d43a3d?cid=42af1dc139184fc09475bdf54c5029cf
4AYX69oFP3UOS1CFmV9UfO,Bottoms Up (feat. Nicki Minaj),"Trey Songz, Nicki Minaj",https://p.scdn.co/mp3-preview/a38bab8f52df5621f858e133c43daff6f97ad2ff?cid=42af1dc139184fc09475bdf54c5029cf
0KyDHcSdBtnbOlnfGbGvj1,OVERTHINKING,"Lyanno, Alvaro Diaz",https://p.scdn.co/mp3-preview/017314de7b3fd3afd9aa99d7088db587ca20c9ea?cid=42af1dc139184fc09475bdf54c5029cf
68Mb6NjkX5hX6DuqHaYhHS,Me Frontió,"Dímelo Flow, Justin Quiles, Alex Rose, Gigolo Y La Exce",https://p.scdn.co/mp3-preview/735008cd3c5e2be78e1c046b0937d2a5c885998e?cid=42af1dc139184fc09475bdf54c5029cf
0jYLYhbDoceMWHWwwvYpVv,Na' Nuevo,Anuel AA,https://p.scdn.co/mp3-preview/9b599cac3b98daf33243fc02119089de92ef4d23?cid=42af1dc139184fc09475bdf54c5029cf
0VLBOzTMkjNGb27UiLiyjD,Llévatela Dios - Versión Pop,"Gusi, Gian Marco",https://p.scdn.co/mp3-preview/ff1f1a2b38eb99205fb4a90f5a5e453629836452?cid=42af1dc139184fc09475bdf54c5029cf
5nLNLf9BjivI61YcVURmXH,He Loves Me (Lyzel in E-Flat) (2020 Remastered),Jill Scott,https://p.scdn.co/mp3-preview/11cd0bb3fe8330bf1b538366adafd94515532659?cid=42af1dc139184fc09475bdf54c5029cf
2VUTAujEdkpmHlwXZPEph9,Drop It On Me (feat. Daddy Yankee & Taboo),"Ricky Martin, Daddy Yankee, Taboo",https://p.scdn.co/mp3-preview/acaa632320e9632c43c06958731ce15764d83736?cid=42af1dc139184fc09475bdf54c5029cf
2dSz2px33HmyFwL5rDlh2e,Razón,Los Caligaris,https://p.scdn.co/mp3-preview/9ab5a3e6293f4ff6cb6e995e68f345e413701968?cid=42af1dc139184fc09475bdf54c5029cf
6tRB5hUaJDStska9BvNxov,career day,Yaya Bey,https://p.scdn.co/mp3-preview/d3bfda6029857209826f3bd1dc80ce356be8e220?cid=42af1dc139184fc09475bdf54c5029cf
6bPfwzy9EY7Nb3zLAqOZaB,Pisces,Yerin Baek,https://p.scdn.co/mp3-preview/c8bc278545244e73877e115e4627d7f73e901f0f?cid=42af1dc139184fc09475bdf54c5029cf
05bzJIGgdNTEOvt6bBJAej,Love You,Anitta,https://p.scdn.co/mp3-preview/81bf8155d9e6b111f115295da032e9db547c3091?cid=42af1dc139184fc09475bdf54c5029cf
29ShXDWDedEwZkYc8Du08N,Imaginate,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Cazzu",https://p.scdn.co/mp3-preview/39a6bbeab13c1bb2e5baffad2c55499bc2ef72b8?cid=42af1dc139184fc09475bdf54c5029cf
1tHUrfOKfRgzuGaa6lXcK7,Whatever Simon Says,Mahalia,https://p.scdn.co/mp3-preview/6ae7223c28874792bcc53739a5fc615d90b5c8cb?cid=42af1dc139184fc09475bdf54c5029cf
2fpKvUg9hxiKAOLuwfEdlJ,Conexión,"Foreign Teck, Justin Quiles, Jay Wheeler, Bryant Myers, Eladio Carrion, Tory Lanez",https://p.scdn.co/mp3-preview/d067c2f19b3594ba7de1a87d8c531a21afcfca4e?cid=42af1dc139184fc09475bdf54c5029cf
0A1hoCfMLkiAgvhWkkucJa,Body,Megan Thee Stallion,https://p.scdn.co/mp3-preview/ed79f0e76d66e1af410009f7bb7e6872a9d3bf45?cid=42af1dc139184fc09475bdf54c5029cf
3TZ3MiMILR5wrQbbWiFUwI,I Was Wrong - Robin Schulz Remix,"A R I Z O N A, Robin Schulz",https://p.scdn.co/mp3-preview/2bc559b392e48e96052ba33b9ba3009acd336e41?cid=42af1dc139184fc09475bdf54c5029cf
1NtLJWyxSzbu0HcKg6rCGG,Corazoncito - Regional Mexican Version,Selena,https://p.scdn.co/mp3-preview/80e85e967b1a4b7a244c29bbc5ec18dc77445077?cid=42af1dc139184fc09475bdf54c5029cf
42JgHvkBiAc5ivo0gvVRvQ,The Voice Within,Christina Aguilera,https://p.scdn.co/mp3-preview/fd30219ab896b2f1dc3e7c05bce4b37fb08fbea9?cid=42af1dc139184fc09475bdf54c5029cf
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",https://p.scdn.co/mp3-preview/fdf031d8a8c778156a2cd0f856b5efe22cc759bf?cid=42af1dc139184fc09475bdf54c5029cf
6GLTEoqfb7gLu9pPmD5gLu,El Costo de la Vida,Juan Luis Guerra 4.40,https://p.scdn.co/mp3-preview/c13c9e7aa56a2a7c726dfd3c517c7d6985f06cf9?cid=42af1dc139184fc09475bdf54c5029cf
5sF4GOOSRELn8zn6DDGzUP,Strange (feat. RM),"Agust D, RM",https://p.scdn.co/mp3-preview/7e65fbe5e3d265f409f55ef3f9b2c0d37c54d206?cid=42af1dc139184fc09475bdf54c5029cf
