track_id,track_name,track_artist,track_preview,mp3_file,MFCC_Vector
7hcagAQDiI0TgUOv337NIr,Orquestra Maldita,"TRASHXRL, Mc Delux",https://p.scdn.co/mp3-preview/15ee8c39bd308f9bb43e2e436bc875cc0031bc0d?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_PlayHardfeatNeYoAkon_DavidGuettaNeYoAkon.mp3,"[ 28.106043    48.816566   -20.46883      4.17047     -8.234701
   1.7841209  -10.634085     3.793944   -11.704092     3.6552017
  -4.940072    -2.4103076   -2.624675     0.06257753  -2.5073428
   4.0194173   -3.9180458   -4.120109   -10.64666     -1.2422634 ]"
0RVmg31gzlshCm356g0HF2,BAIXO,xxanteria,https://p.scdn.co/mp3-preview/42a413da2641e4d795233cb948ee0d32e24cbce0?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_AlgoMágico_RauwAlejandro.mp3,"[-11.866362   106.039406    -5.6346407    7.4071608    1.3357973
  -4.3589373    2.9472797    1.0368671  -13.593234    11.193583
  -2.999805     3.446093     0.36708045   1.3595427   -1.0736314
  -0.19699323  -2.6868443   -1.351537    -3.193693     4.220125  ]"
6xBpb9zNWlRHTslOAe6kXF,Slide da Treme Melódica v2,"DJ FNK, Polaris",https://p.scdn.co/mp3-preview/927cba85286dfc57d860ff4cbae1acb9b0b29025?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_SóloYo_CNCO.mp3,"[ 0.6530794  51.97889    11.604904   11.316553    0.8494566  -1.7282165
  1.1272181   1.7095077  -8.01599     4.0578055   1.4347736   2.4179604
 -0.78791946 -0.442175   -6.541406    4.484555   -4.1880727   0.52062345
 -5.810041    0.15081894]"
2JIzOc3HHo4MhiyZzhpBUV,Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções",https://p.scdn.co/mp3-preview/e8b57621100fb9234a5620b5893977d4b253d48f?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_YoungAgainfeatChrisJones_HardwellChrisJones.mp3,"[ 2.7280412  67.94989     5.6269884   6.742807    6.195776   12.625784
  8.933622    9.9270525  -0.9125244   5.3161273   0.67770416  9.879007
  4.289273    6.9597764   2.7312858   4.8616247  -0.8271713   4.178238
  0.6905735   4.0426955 ]"
7bxyNLXYaEYaZTxAuQTHlD,TUCA DONKA,"CURSEDEVIL, DJ FKU, Skorde",https://p.scdn.co/mp3-preview/5e78a5f04c7fc929356fe04dd473da856e00867a?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ParaMi_CulturaProfética.mp3,"[-92.805984    81.82214     16.5519      24.846622     7.176253
  -3.754605    -2.1692023    3.8782334  -14.276022     4.131707
  -8.195361     1.0176747   -2.3937545   -1.1790051   -3.6884866
   0.33652705  -4.3615127    1.3770654   -4.4657364    2.7556567 ]"
3i6tlvYU1BSAM3yGQNemtM,DNA,"LXNGVX, VISXGE",https://p.scdn.co/mp3-preview/704957d11eeeb223f4ac6314dbe34cbbf632691b?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Malditoduende_HeroesDelSilencio.mp3,"[-25.291348   94.71914   -12.486903   36.055775   12.634818    5.7002616
   0.2608076   2.4828506  -5.5707664   4.069322   -1.4718845   4.057747
  -4.186005   -1.5121374  -4.2633286   1.2255499  -4.5899262   1.8721428
   2.07256     1.6364915]"
4hcnbu7PdISGGj82ZuDpFQ,FRESH,NXVAMANE,https://p.scdn.co/mp3-preview/8da71c3144a292571cea5f8ab48033d9ebd4ecfa?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_SecuelasDeAmor_CarinLeon.mp3,"[-40.065098    82.20929     -4.3749337   27.076397     7.2146773
  17.008207     6.6356063    2.3337626   -0.6909164    7.8186674
  -2.29075      5.043898    -1.3358707    5.7072854   -2.982675
   0.6156395   -6.4555883    1.0897415   -1.331217    -0.67515016]"
6yVjjQA31SLM1kc4j5jPwF,BRAZILIAN DANÇA PHONK,"6YNTHMANE, RXDXVIL",https://p.scdn.co/mp3-preview/6dd573c943c29002310c46f3d87a6dc615a27bbd?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ICallShadefeatPeppermint_TrinitytheTuckPeppermint.mp3,"[-51.031513   67.03268    23.820082   37.978477   11.157161   20.395338
   1.2333888  16.276228    4.347092   11.44136     2.8158517   8.81234
   1.0879557   2.8364277   3.377355    3.7081184   1.6145197   5.4749002
   0.9868313   3.1579225]"
3xuOs8TPNwItkEYsApFEI2,TREINAMENTO DE FORÇA,TRXVELER,https://p.scdn.co/mp3-preview/a6b264b699c8ce869551c3e5ab94cd411e96ccbd?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ShouldIStayorShouldIGoRemastered_TheClash.mp3,"[-62.26803     85.14976    -17.837471    31.163       -2.0698636
  13.992885    -8.095027    11.745752    -3.955484     7.1751328
   3.0419846    5.24133     -1.9406847   -2.0928388   -2.531701
  -0.85299397  -2.9366157    1.911948     1.4883497   -1.2835805 ]"
1c0ziDDbmj4YlLtknfLlRh,DANÇA DO YA YA MIJO YA - SUPER SLOWED,"DJ JCK, Polaris, MC MN",https://p.scdn.co/mp3-preview/9ef4ea2d931574d2d85b70ddb7bd75fe39194ec6?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_Cosasqueprobablementenovanapasar_Ev.mp3,"[-9.2087082e+01  1.2914938e+02  1.7525837e+01  3.4586784e+01
 -2.8948107e-01  1.4052396e+01  1.6183450e+00  6.0896058e+00
 -2.3924890e-01  9.8129025e+00  1.4636037e+00  3.8853320e-01
 -5.5304694e+00  4.7765169e+00  2.8862858e-01  3.8710613e+00
 -1.2282369e-01  2.0455137e-01 -3.2940724e+00  2.9448998e+00]"
6KAjgfXSrqcoouZ0Rh9pza,Sequência da Dz7,"TRASHXRL, Mc Menor Do Alvorada",https://p.scdn.co/mp3-preview/a49b9de9f7942f1e267fffb1e093e81020f41846?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ImEveryWoman_ChakaKhan.mp3,"[-20.166378    73.04866    -15.171964    22.939102    -1.2829143
  15.789851     5.9897437    3.5536823   -5.4781036    6.7917113
  -4.164677     0.99847955   5.6953545    2.5024657   -2.2685592
   1.7576637   -4.155896     0.48420286  -7.257315     0.26746297]"
6qlnqjooo2LfPr0FLbWsbQ,Ashi Ashi,"6YNTHMANE, RXDXVIL",https://p.scdn.co/mp3-preview/37600fbb153996d7d365a3598995dc9f05183759?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_DejarloTodoAfuera_DiegoTorresLuzGaggi.mp3,"[-50.922295    83.87782      3.8609023   22.507761    13.786627
  12.534093     0.24053124   9.352072    -8.881865     9.151975
  -1.2233373    9.001062    -3.7716427    4.155467    -1.0935764
  -0.22079103  -7.153342    -1.1138531   -6.5493536   -2.9895537 ]"
1IPHnu3hVkawJMzkP97tcm,Sleepwalker,"akiaura, LONOWN, STM",https://p.scdn.co/mp3-preview/db164f3c8efc773af0dd7ee0745b61c9059953f3?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_ElAzul_JuniorHPesoPluma.mp3,"[-46.418777   91.45142    16.364542   14.139554   -2.5598648  13.087433
  -0.5881175   4.3889666   3.149332    8.612772    2.5956993   4.0833845
  -3.129895    4.0947037  -4.4836793   3.5096402  -3.67527     6.289093
  -2.6012537   0.9689764]"
01kfSdF9zfcDLri5sSWEoL,RAVE,Dxrk ダーク,https://p.scdn.co/mp3-preview/c7a8d72c0241d5f90211ffae530ba6748d9d9f04?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_TodasMuerenporMí_CartelDeSanta.mp3,"[-107.84314      84.540985    -12.3569975    24.145977     16.956852
    2.2197819     7.0379434     6.7492514    -4.9865193    12.827951
    0.43697757    6.153028     -0.4414173     8.812746      1.7790792
    8.357869      0.9128954     4.1652308     3.216639      1.2100143 ]"
7vtGOauV0Zz8Px5EJYm7d7,Life in Rio,"Slowboy, NUEKI, Crazy Mano, TOLCHONOV",https://p.scdn.co/mp3-preview/c5744c6c74967316e95819b17152a7b33e172ce5?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_WildOut_RajahWild.mp3,"[-5.4027721e+01  7.7240860e+01  2.4695713e+01  2.8465099e+01
  1.4091583e+01  1.7882704e+01 -7.1733701e-01  1.3241445e+01
 -1.2839949e+00  4.2001300e+00  4.6121836e+00  2.8800449e+00
  4.2042733e-04  1.1677630e+01 -2.0637231e+00  1.0719600e+01
 -3.7579678e-02  8.1499071e+00  6.6611814e-01  6.9746308e+00]"
24WBge8e53iDTeXOtVB02s,Eu Sento Gabu!,PXLWYSE,https://p.scdn.co/mp3-preview/80211657c870b759a5528d6ee84b8cfa01ae676b?cid=42af1dc139184fc09475bdf54c5029cf,downloaded_audio\_NoSéTú_LuisMiguel.mp3,"[-61.970104  101.33214    21.494446   18.754978    5.842643    6.2346478
   1.1157334   7.4932647  -0.8417522   1.7722828  -4.837753    3.9090018
  -3.2653892  -0.4727307  -3.4251664  -3.502438   -8.423418    5.587134
  -1.8284626   2.7656236]"
